guia,origen,destino,estado,fecha_despacho,limite_entrega,costo_flete,despacho_dia,despacho_mes,despacho_ano,limite_dia,limite_mes,limite_ano,salud,recomendaciones,alertas,alertas_detalladas,categoria,estado_auditoria
GUIA-1034,BUCARAMANGA,CÚCUTA,en_transito,2026-06-07,2026-06-10,2800,1,1,2026,1,1,2026,55,"Contactar al conductor/transportista., Renegociar tarifa con el proveedor.","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito",critico,critico
GUIA-1035,BOGOTÁ,CALI,en_transito,2026-06-08,2026-06-09,1800,1,1,2026,1,1,2026,80,Contactar al conductor/transportista.,ðŸš› VehÃ­culo Retrasado en Ruta,ðŸš› VehÃ­culo Retrasado en Ruta,atencion_requerida,atencion_requerida
GUIA-1036,LA ESTRELLA,BOGOTÁ,en_bodega,2026-05-24,2026-05-29,800,1,1,2026,1,1,2026,85,Llamar a bodega origen urgente.,âŒ Retraso CrÃ­tico en Despacho,âŒ Retraso CrÃ­tico en Despacho,atencion_requerida,atencion_requerida
GUIA-1037,ENVIGADO,CALI,preparacion,2026-05-29,2026-06-03,950,1,1,2026,1,1,2026,85,Llamar a bodega origen urgente.,âŒ Retraso CrÃ­tico en Despacho,âŒ Retraso CrÃ­tico en Despacho,atencion_requerida,atencion_requerida
GUIA-1038,BELLO,BARRANQUILLA,en_transito,2026-05-31,2026-06-06,42000,1,1,2026,1,1,2026,55,"Contactar al conductor/transportista., Renegociar tarifa con el proveedor.","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito",critico,critico
GUIA-1039,RIONEGRO,MEDELLÍN,entregado,2026-06-04,2026-06-07,1100,1,1,2026,1,1,2026,100,Ninguna. Archivar registro.,âœ… Entregado Correctamente,âœ… Entregado Correctamente,excelente,excelente
GUIA-1040,BOGOTÁ,LA ESTRELLA,entregado,2026-06-02,2026-06-06,1300,1,1,2026,1,1,2026,100,Ninguna. Archivar registro.,âœ… Entregado Correctamente,âœ… Entregado Correctamente,excelente,excelente
GUIA-1041,CARTAGENA,MEDELLÍN,en_novedad,2026-06-06,2026-06-12,6000,1,1,2026,1,1,2026,20,"AuditorÃ­a interna inmediata requerida., Contactar al conductor/transportista.","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš› VehÃ­culo Retrasado en Ruta","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš› VehÃ­culo Retrasado en Ruta",critico,critico
GUIA-1042,SANTA MARTA,BOGOTÁ,en_transito,2026-06-07,2026-06-13,2200,1,1,2026,1,1,2026,80,Contactar al conductor/transportista.,ðŸš› VehÃ­culo Retrasado en Ruta,ðŸš› VehÃ­culo Retrasado en Ruta,atencion_requerida,atencion_requerida
GUIA-1043,PEREIRA,CALI,en_bodega,2026-06-08,2026-06-10,1700,1,1,2026,1,1,2026,85,Llamar a bodega origen urgente.,âŒ Retraso CrÃ­tico en Despacho,âŒ Retraso CrÃ­tico en Despacho,atencion_requerida,atencion_requerida
GUIA-1044,MANIZALES,BARRANQUILLA,entregado,2026-06-05,2026-06-09,1400,1,1,2026,1,1,2026,100,Ninguna. Archivar registro.,âœ… Entregado Correctamente,âœ… Entregado Correctamente,excelente,excelente
GUIA-1045,ARMENIA,CARTAGENA,preparacion,2026-06-08,2026-06-11,850,1,1,2026,1,1,2026,85,Llamar a bodega origen urgente.,âŒ Retraso CrÃ­tico en Despacho,âŒ Retraso CrÃ­tico en Despacho,atencion_requerida,atencion_requerida
GUIA-1046,MEDELLÍN,BOGOTÁ,en_transito,2026-06-04,2026-06-09,2900,1,1,2026,1,1,2026,55,"Contactar al conductor/transportista., Renegociar tarifa con el proveedor.","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito",critico,critico
GUIA-1047,CALI,MEDELLÍN,en_transito,2026-06-06,2026-06-10,1950,1,1,2026,1,1,2026,80,Contactar al conductor/transportista.,ðŸš› VehÃ­culo Retrasado en Ruta,ðŸš› VehÃ­culo Retrasado en Ruta,atencion_requerida,atencion_requerida
GUIA-1048,BOGOTÁ,CALI,entregado,2026-06-03,2026-06-07,1250,1,1,2026,1,1,2026,100,Ninguna. Archivar registro.,âœ… Entregado Correctamente,âœ… Entregado Correctamente,excelente,excelente
GUIA-1049,BARRANQUILLA,SANTA MARTA,en_novedad,2026-06-01,2026-06-05,31000,1,1,2026,1,1,2026,0,"AuditorÃ­a interna inmediata requerida., Bloquear pago de factura preventivamente., Contactar al conductor/transportista., Preparar activaciÃ³n de pÃ³liza de seguro.","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš¨ Novedad con Riesgo de PÃ©rdida, ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ’° Riesgo Financiero Alto (>30k)","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš¨ Novedad con Riesgo de PÃ©rdida, ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ’° Riesgo Financiero Alto (>30k)",critico,critico
GUIA-1050,CÚCUTA,BUCARAMANGA,en_bodega,2026-06-07,2026-06-12,1600,1,1,2026,1,1,2026,85,Llamar a bodega origen urgente.,âŒ Retraso CrÃ­tico en Despacho,âŒ Retraso CrÃ­tico en Despacho,atencion_requerida,atencion_requerida
GUIA-1051,MEDELLÍN,PEREIRA,entregado,2026-06-05,2026-06-09,1150,1,1,2026,1,1,2026,100,Ninguna. Archivar registro.,âœ… Entregado Correctamente,âœ… Entregado Correctamente,excelente,excelente
GUIA-1052,BOGOTÁ,MANIZALES,en_transito,2026-06-07,2026-06-11,2600,1,1,2026,1,1,2026,55,"Contactar al conductor/transportista., Renegociar tarifa con el proveedor.","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito","ðŸš› VehÃ­culo Retrasado en Ruta, ðŸ“‰ Tarifa Excesiva en TrÃ¡nsito",critico,critico
GUIA-1053,CALI,ARMENIA,en_novedad,2026-06-04,2026-06-07,4800,1,1,2026,1,1,2026,20,"AuditorÃ­a interna inmediata requerida., Contactar al conductor/transportista.","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš› VehÃ­culo Retrasado en Ruta","âš ï¸ Posible Fraude / Flete Sospechoso, ðŸš› VehÃ­culo Retrasado en Ruta",critico,critico
GUIA-1054,LA ESTRELLA,MEDELLÍN,entregado,2026-06-06,2026-06-10,900,1,1,2026,1,1,2026,100,Ninguna. Archivar registro.,âœ… Entregado Correctamente,âœ… Entregado Correctamente,excelente,excelente
